date_from,date_to,name,venue,country,category,discipline,calendar,class,email,website,logo
2022-11-24,2022-11-24,Road Junior Caribbean Championships - MJ IRR,,DOM,MJ,Road,AME,1.2,fdom.ciclismo@gmail.com,,
2022-11-27,2022-11-27,Beking,Monaco,MON,ME,Road,EUR,CRTP,claudia@teamcmt.com,https://www.bekingevents.com/,
2022-12-01,2022-12-05,CAC Nile Tour,,EGY,MJ,Road,AFR,2.1,egypt_cycling@hotmail.com,,
2022-12-16,2022-12-25,Vuelta Ciclista Internacional a Costa Rica,,CRC,ME,Road,AME,2.2,fecoci@fecoci.net,www.fecoci.net,
2022-12-22,2022-12-22,Arab Road Cycling Championships - RR - WE,,UAE,,Road,ASI,1.2,yasir.aldoukhi@sharjahsports.shj.ae,,
2022-12-22,2022-12-22,Arab Road Cycling Championships - RR - MJ,,UAE,,Road,ASI,1.2,yasir.aldoukhi@sharjahsports.shj.ae,,
2022-12-23,2022-12-23,Arab Road Cycling Championships - RR - ME,,UAE,,Road,ASI,1.2,arab.cyc.fed@gmail.com,arabcycling.com,
2022-12-23,2022-12-26,National Road Championships - China,,CHN,,Road,ASI,CN,admin@chncycling.com,http://cycling.sport.org.cn/,
2023-01-01,2023-01-03,Bay Crits,Geelong,AUS,ME,Road,OCE,CRTP,karin@ksjevents.com.au,http://baycrits.weebly.com/,
2023-01-01,2023-01-03,Bay Crits,Geelong,AUS,WE,Road,OCE,CRTP,karin@ksjevents.com.au,http://baycrits.weebly.com/,
2023-01-06,2023-01-08,Giro del Sol,,ARG,ME,Road,AME,2.2,r_virhuez@hotmail.com,,
2023-01-07,2023-01-10,National Road Championships - Australia,,AUS,,Road,OCE,CN,road@auscycling.org.au,www.roadnationals.org.au,
2023-01-07,2023-01-10,National Road Championships - India,,IND,,Road,ASI,CN,CYCLINGFEDERATIONOFINDIA@GMAIL.COM,WWW.CYCLINGFEDERATIONOFINDIA.ORG,
2023-01-11,2023-01-15,New Zealand Cycle Classic,,NZL,ME,Road,OCE,2.2,jorgesandovalnz@gmail.com,www.cycletournz.com,
2023-01-14,2023-01-14,Schwalbe Classic,Adelaide CBD,AUS,ME,Road,OCE,CRTP,tourdownunder2@sa.gov.au,tourdownunder.com.au,
2023-01-14,2023-01-14,Schwalbe Classic,Adelaide CBD,AUS,WE,Road,OCE,CRTP,tourdownunder2@sa.gov.au,tourdownunder.com.au,
2023-01-15,2023-01-17,Santos Tour Down Under,,AUS,WE,Road,MON,2.WWT,tourdownunder2@sa.gov.au,tourdownunder.com.au,
2023-01-15,2023-01-22,Vuelta al Táchira en Bicicleta,,VEN,ME,Road,AME,2.2,fvciclismove@gmail.com; atccontacto1@gmail.com,www.lavueltaaltachira.com,
2023-01-17,2023-01-22,Santos Tour Down Under,,AUS,ME,Road,UWT,2.UWT,Tourdownunder2@sa.gov.au,www.tourdownunder.com.au,
2023-01-21,2023-01-21,Gravel and Tar Classic,,NZL,ME,Road,OCE,1.2,steve@gravelandtar.com,www.gravelandtar.com,
2023-01-22,2023-01-22,Clàssica Comunitat Valenciana 1969 - Gran Premi València,,ESP,ME,Road,EUR,1.1,info@cclamarina.org,voltalamarina.com,
2023-01-22,2023-01-29,Vuelta a San Juan Internacional,,ARG,ME,Road,AME,2.Pro,vueltaasanjuan@gmail.com,www.vueltaasanjuan.org,
2023-01-23,2023-01-23,National Criterium Championships - New Zealand,Palmerston North,NZL,WE,Road,OCE,CRT,events@cyclingnewzealand.nz,,
2023-01-23,2023-01-23,National Criterium Championships - New Zealand,Palmerston North,NZL,ME,Road,OCE,CRT,events@cyclingnewzealand.nz,www.criteriumnationals.nz/,
2023-01-23,2023-01-29,La Tropicale Amissa Bongo,,GAB,ME,Road,AFR,2.1,laurentcrepel@yahoo.fr,www.tropicaleamissabongo.com,
2023-01-25,2023-01-25,Trofeo Calvia (Palmanova-Palmanova),,ESP,ME,Road,EUR,1.1,info@unisportconsulting.com,,
2023-01-26,2023-01-26,Trofeo Port D'Alcudia - Port D'Alcudia,,ESP,ME,Road,EUR,1.1,info@unisportconsulting.com,www.vueltamallorca.com,
2023-01-27,2023-01-27,Trofeo Andratx - Mirador des Colomer (Pollença),,ESP,ME,Road,EUR,1.1,info@unisportconsulting.com,www.vueltamallorca.com,
2023-01-27,2023-01-29,National Road Championships - Namibia,,NAM,,Road,AFR,CN,info@namcf.org,www.namcf.org,
2023-01-27,2023-01-29,National Road Championships - Thailand,,THA,,Road,ASI,CN,taca1959@yahoo.com,https://www.thaicycling.or.th/,
2023-01-27,2023-01-31,Tour of Sharjah,,UAE,ME,Road,ASI,2.2,sharjahtour@sharjahsports.shj.ae,www.sharjahtour.ae,
2023-01-28,2023-01-28,Trofeo Serra Tramuntana (Lloseta - Lloseta),,ESP,ME,Road,EUR,1.1,info@unisportconsulting.com,www.vueltamallorca.com,
2023-01-28,2023-01-28,National Road Championships - Lesotho,,LES,,Road,AFR,CN,makatilerammotang@yahoo.com,,
2023-01-28,2023-01-28,Grand Prix Aspendos,,TUR,ME,Road,EUR,1.2,info@cyclingracesinturkiye.com,www.cyclingracesinturkiye.com,
2023-01-28,2023-01-28,Cadel Evans Great Ocean Road Race - Elite Women's Race,,AUS,WE,Road,MON,1.WWT,admin@cadelevansgreatoceanroadrace.com.au,www.cadelevansgreatoceanroadrace.com.au,
2023-01-29,2023-01-29,Cadel Evans Great Ocean Road Race,,AUS,ME,Road,UWT,1.UWT,admin@cadelevansgreatoceanroadrace.com.au,www.cadelevansgreatoceanroadrace.com.au,
2023-01-29,2023-01-29,Trofeo Palma - Palma,,ESP,ME,Road,EUR,1.1,info@unisportconsulting.com,www.vueltamallorca.com,
2023-01-29,2023-01-29,Women Cycling Pro Costa De Almería,,ESP,WE,Road,EUR,1.1,info@totalsportmediterranean.com,www.totalsportmediterranean.com,
2023-01-29,2023-01-29,Grand Prix Cycliste de Marseille La Marseillaise,,FRA,ME,Road,EUR,1.1,pguille@lamarseillaise.fr,www.lamarseillaise.fr,
2023-01-30,2023-02-03,Saudi Tour,,KSA,ME,Road,ASI,2.1,pythouault@aso.fr,,
2023-02-01,2023-02-05,Etoile de Bessèges - Tour du Gard,,FRA,ME,Road,EUR,2.1,etoiledebesseges@orange.fr,www.etoiledebesseges.com,
2023-02-01,2023-02-05,Volta a la Comunitat Valenciana,,ESP,ME,Road,EUR,2.Pro,dir@vueltacv.com,www.vueltacv.com,
2023-02-01,2023-02-05,Vuelta del Porvenir San Luis,,ARG,ME,Road,AME,2.2,vueltadelporvenir@gmail.com,www.deportes.sanluis.gov.ar,
2023-02-01,2023-02-05,Tour du Sahel,,MTN,ME,Road,AFR,2.2,fncmauritanie@gmail.com,,
2023-02-02,2023-02-05,National Road Championships - Colombia,,COL,,Road,AME,CN,presidencia@federacioncolombianadeciclismo.com,www.federacioncolombianadeciclismo.com,
2023-02-04,2023-02-04,Grand Prix Apollon Temple,,TUR,ME,Road,EUR,1.2,info@cyclingracesinturkiye.com,www.cyclingracesinturkiye.com,
2023-02-04,2023-02-04,Aphrodite Cycling Race - ITT,,CYP,WE,Road,EUR,1.2,info@activatecyprus.com,www.activatecyprus.com,
2023-02-05,2023-02-05,Grand Prix Apollon Temple,,TUR,WE,Road,EUR,1.2,info@cyclingracesinturkiye.com,www.cyclingracesinturkiye.com,
2023-02-05,2023-02-05,Vuelta CV Feminas,,ESP,WE,Road,EUR,1.1,feminas@vueltacv.com,www.vueltacv.com,
2023-02-08,2023-02-08,Aphrodite Cycling Race - Women for future,,CYP,WE,Road,EUR,1.2,info@activatecyprus.com,www.activatecyprus.com,
2023-02-08,2023-02-13,CAC African Road Championships,Accra,GHA,,Road,AFR,CC,wagih_azzam@live.com,,
2023-02-09,2023-02-12,UAE Tour,,UAE,WE,Road,MON,2.WWT,f.damico@rcssportsandevents.com ; MAlRemeithi@adsc.gov.ae,,
2023-02-10,2023-02-10,Muscat Classic,,OMA,ME,Road,ASI,1.1,fperque@aso.fr,,
2023-02-10,2023-02-12,National Road Championships - New Zealand,,NZL,,Road,OCE,CN,events@cyclingnewzealand.nz,www.eliteroadnationals.nz/,
2023-02-10,2023-02-12,National Road Championships - South Africa,,RSA,,Road,AFR,CN,info@cyclingsa.com,www.cyclingsa.com,
2023-02-10,2023-02-12,National Road Championships - Ecuador,,ECU,,Road,AME,CN,secretaria@fec.ec,,
2023-02-10,2023-02-12,National Road Championships - Ecuador (ME),,ECU,,Road,AME,CN,presidencia@fec.ec,,
2023-02-11,2023-02-11,Aphrodite Cycling Race - RR,,CYP,WE,Road,EUR,1.2,info@activatecyprus.com,www.activatecyprus.com,
2023-02-11,2023-02-11,"Vuelta Ciclista a la Región de Murcia ""Costa Cálida""",,ESP,ME,Road,EUR,1.1,pacoguzman@vueltamurcia.es,www.vueltamurcia.es,
2023-02-11,2023-02-11,Clasica de Almeria,,ESP,WE,Road,EUR,1.1,clasicadealmeria@hotmail.com,www.clasicadealmeria.net,
2023-02-11,2023-02-12,National Road Championships - Uruguay,,URU,,Road,AME,CN,federacionciclistauruguaya@gmail.com,federacionciclista.com.uy,
2023-02-11,2023-02-15,Tour of Oman,,OMA,ME,Road,ASI,2.Pro,fperque@aso.fr,www.omancycling.om,
2023-02-12,2023-02-12,Clasica de Almeria,,ESP,ME,Road,EUR,1.Pro,clasicadealmeria@hotmail.com,www.clasicadealmeria.net,
2023-02-12,2023-02-12,Figueira Champions Classic,,POR,ME,Road,EUR,1.1,administracao@fullracing.pt,www.figueirachampionsclassic.com,
2023-02-13,2023-02-13,National Criterium Championships - South Africa (WE),"Oudtshoorn, Western Cape",RSA,ME,Road,AFR,CRT,secretarygeneral@cyclingsa.com,,
2023-02-13,2023-02-13,National Criterium Championships - South Africa ME,"Oudtshoorn, Western Cape",RSA,ME,Road,AFR,CRT,info@cyclingsa.com,www.cyclingsa.com,
2023-02-13,2023-02-13,Jaén Paraiso Interior,,ESP,ME,Road,EUR,1.1,mompa@laatsteronde.es,https://clasicajaen.com/,
2023-02-15,2023-02-19,Volta ao Algarve em Bicicleta,,POR,ME,Road,EUR,2.Pro,geral@fpciclismo.pt,www.voltaaoalgarve.com,
2023-02-15,2023-02-19,Vuelta a Andalucia Ruta Ciclista Del Sol,,ESP,ME,Road,EUR,2.Pro,joaquin@deporinter.es,www.vueltaandalucia.es,
2023-02-16,2023-02-19,Setmana Ciclista-Volta Comunitat Valenciana Fèmines,,ESP,WE,Road,EUR,2.Pro,ruben.donet@ccescapada.com,https://ccescapada.com/setmana-ciclista-valenciana,
2023-02-17,2023-02-18,National Road Championships - Egypt (WE/WU),,EGY,,Road,AFR,CN,egypt_cycling@hotmail.com,,
2023-02-17,2023-02-19,Tour des Alpes Maritimes et du Var,,FRA,ME,Road,EUR,2.1,tour0683@nicematin.fr,www.tour06-83.com,
2023-02-17,2023-02-19,National Road Championships - Pakistan,,PAK,,Road,ASI,CN,pakistan.cycling@pcf.com.pk,,
2023-02-19,2023-02-26,Tour du Rwanda,,RWA,ME,Road,AFR,2.1,contact@tourdurwanda.rw,www.tourdurwanda.rw,
2023-02-20,2023-02-26,UAE Tour,,UAE,ME,Road,UWT,2.UWT,luca.papini@rcs.it; f.damico@rcssportsandevents.com,www.theuaetour.com,
2023-02-23,2023-02-26,O Gran Camiño,,ESP,ME,Road,EUR,2.1,EME@EMESPORTS.ES,,
2023-02-25,2023-02-25,Omloop Het Nieuwsblad Elite,,BEL,ME,Road,UWT,1.UWT,nicolas.denys@flandersclassics.be,www.omloophetnieuwsblad.be,
2023-02-25,2023-02-25,Omloop Het Nieuwsblad,,BEL,WE,Road,MON,1.WWT,maja.leye@flandersclassics.be,www.omloophetnieuwsblad.be,
2023-02-25,2023-02-25,Faun-Ardèche Classic,,FRA,ME,Road,EUR,1.Pro,guillaume.delpech@bdao.info,www.boucles-drome-ardeche.fr,
2023-02-25,2023-03-05,National Road Championships - United Arab Emirates (WE),,UAE,,Road,ASI,CN,uaecyclingfederation@gmail.com,,
2023-02-25,2023-03-05,National Road Championships - United Arab Emirates,,UAE,,Road,ASI,CN,uaecyclingfederation@gmail.com,,
2023-02-26,2023-02-26,Faun Drome Classic,,FRA,ME,Road,EUR,1.Pro,guillaume.delpech@bdao.info,www.boucles-drome-ardeche.fr,
2023-02-26,2023-02-26,Craywinckelhof - Omloop van het Hageland,,BEL,WE,Road,EUR,1.1,info@omloophageland.be,www.cttilt.be,
2023-02-26,2023-02-26,Kuurne - Brussel - Kuurne Juniors,,BEL,MJ,Road,EUR,1.1,info@kuurne-brussel-kuurne.be,www.kuurne-brussel-kuurne.be,
2023-02-26,2023-02-26,Kuurne - Bruxelles - Kuurne,,BEL,ME,Road,EUR,1.Pro,info@kuurne-brussel-kuurne.be,www.kuurne-brussel-kuurne.be,
2023-02-28,2023-02-28,Le Samyn des Dames,,BEL,WE,Road,EUR,1.1,jeanlucvdb@skynet.be,WWW.LESAMYN.BE,
2023-02-28,2023-02-28,Le Samyn,,BEL,ME,Road,EUR,1.1,jeanlucvdb@skynet.be,www.lesamyn.be,
2023-03-01,2023-03-01,Trofeo Laigueglia,,ITA,ME,Road,EUR,1.Pro,segreteria@comune.laigueglia.sv.it,www.trofeolaigueglia.it,
2023-03-01,2023-03-01,Trofej Umag - Umag Trophy,,CRO,ME,Road,EUR,1.2,ivan.crnjaric@thorax.hr,,
2023-03-01,2023-03-01,Umag Trophy LADIES,,CRO,WE,Road,EUR,1.2,ivan.crnjaric@thorax.hr,,
2023-03-04,2023-03-04,Alanya CUP,,TUR,ME,Road,EUR,1.2,info@cyclingracesinturkiye.com,www.cyclingracesinturkiye.com,
2023-03-04,2023-03-04,Craft Ster van Zwolle,,NED,ME,Road,EUR,1.2,info@stervanzwolle.nl,www.stervanzwolle.nl,
2023-03-04,2023-03-04,Grand Prix Criquielion,,BEL,ME,Road,EUR,1.1,info@ententecyclisteacrenoise.be,www.ententecyclisteacrenoise.be,
2023-03-04,2023-03-04,Le Tour des 100 Communes,,FRA,ME,Road,EUR,1.2,rso.tour100communes@gmail.com,regionsportorgansation.fr,
2023-03-04,2023-03-04,Strade Bianche,,ITA,WE,Road,MON,1.WWT,giusy.virelli@rcs.it,www.strade-bianche.it,
2023-03-04,2023-03-04,Strade Bianche,,ITA,ME,Road,UWT,1.UWT,stefano.allocchio@rcs.it,www.strade-bianche.it,
2023-03-04,2023-03-05,Visit South Aegean Islands,,GRE,ME,Road,EUR,2.2,rhodescycling@gmail.com,www.rhodestour.gr,
2023-03-05,2023-03-05,Trofeo Oro in Euro - Women's Bike Race,,ITA,WE,Road,EUR,1.1,montignosociclismo@gmail.com,www.montignosociclismo.org,
2023-03-05,2023-03-05,Poreč Trophy LADIES,,CRO,WE,Road,EUR,1.2,ivan.crnjaric@thorax.hr,,
2023-03-05,2023-03-05,Trofej Poreč - Poreč Trophy,,CRO,ME,Road,EUR,1.2,ivan.crnjaric@thorax.hr,,
2023-03-05,2023-03-05,Grand Prix de la Ville de Lillers Souvenir Bruno Comini,,FRA,ME,Road,EUR,1.2,rso.gplillers@gmail.com,gp2lillers.fr,
2023-03-05,2023-03-05,Grote prijs Jean - Pierre Monseré,,BEL,ME,Road,EUR,1.1,info@gpmonsere.be,www.gpmonsere.be,
2023-03-05,2023-03-12,Paris-Nice,,FRA,ME,Road,UWT,2.UWT,tgouvenou@aso.fr,www.letour.fr,
2023-03-06,2023-03-12,Tirreno-Adriatico,,ITA,ME,Road,UWT,2.UWT,stefano.allocchio@rcs.it,www.tirrenoadriatico.it,
2023-03-07,2023-03-11,Trofeo Ponente in Rosa,,ITA,WE,Road,EUR,2.2,LOABIKERS.UCI@GMAIL.COM,www.loabikers.com,
2023-03-07,2023-03-16,Tour d'Algérie International de Cyclisme,,ALG,ME,Road,AFR,2.2,alg.cyc.fed@gmail.com,https://facyclisme.com,
2023-03-09,2023-03-12,Istarsko Proljeće - Istrian Spring Trophy,,CRO,ME,Road,EUR,2.2,ivan.crnjaric@thorax.hr,,
2023-03-10,2023-03-10,Drentse Acht van Westerveld,,NED,WE,Road,EUR,1.1,rondevandrenthe@home.nl,www.rondevandrenthe.nl,
2023-03-10,2023-03-12,Vuelta Extremadura Féminas,,ESP,WE,Road,EUR,2.2,federacion@ciclismoextremadura.es,www.ciclismoextremadura.es,
2023-03-11,2023-03-11,Danilith Nokere Koerse MJ,,BEL,MJ,Road,EUR,1.1,info@nokerekoerse.be,www.nokerekoerse.be,
2023-03-11,2023-03-11,Rhodes GP by Culture & Sports Organization,,GRE,ME,Road,EUR,1.2,rhodescycling@gmail.com,www.rhodestour.gr,
2023-03-11,2023-03-11,Miron Ronde van Drenthe,,NED,WE,Road,MON,1.WWT,rondevandrenthe@home.nl,www.rondevandrenthe.nl,
2023-03-12,2023-03-12,Albert Achterhes Profronde van Drenthe,,NED,ME,Road,EUR,1.1,rondevandrenthe@home.nl,www.rondevandrenthe.nl,
2023-03-12,2023-03-12,Dorpenomloop Rucphen,,NED,ME,Road,EUR,1.2,info@dorpenomlooprucphen.nl,www.dorpenomlooprucphen.nl,
2023-03-12,2023-03-16,Tour de Taiwan,,TPE,ME,Road,ASI,2.1,tourdetw@ms35.hinet.net,www.cycling.org.tw,
2023-03-15,2023-03-15,Milano - Torino,,ITA,ME,Road,EUR,1.Pro,luca.papini@rcs.it,www.milanotorino.it,
2023-03-15,2023-03-15,Danilith Nokere Koerse,,BEL,ME,Road,EUR,1.Pro,info@nokerekoerse.be,www.nokerekoerse.be,
2023-03-15,2023-03-15,Danilith Nokere Koerse,,BEL,WE,Road,EUR,1.Pro,info@nokerekoerse.be,www.nokerekoerse.be,
2023-03-16,2023-03-16,Grand Prix de Denain - Porte du Hainaut,,FRA,ME,Road,EUR,1.Pro,dominique.serrano@gpdenain.fr; contact@gpdenain.fr,www.gpdenain.fr,
2023-03-16,2023-03-19,International Tour of Rhodes,,GRE,ME,Road,EUR,2.2,rhodescycling@gmail.com,www.rhodestour.gr,
2023-03-17,2023-03-17,Grand Prix de la Ville d'Alger,,ALG,ME,Road,AFR,1.2,alg.cyc.fed@gmail.com,https://facyclisme.com,
2023-03-17,2023-03-17,Bredene Koksijde Classic,,BEL,ME,Road,EUR,1.Pro,info@bredenekoksijdeclassic.be,www.bredenekoksijdeclassic.be,
2023-03-17,2023-03-17,Youngster Coast Challenge,,BEL,MU,Road,EUR,1.2U,info@bredenekoksijdeclassic.be,www.bredenekoksijdeclassic.be,
2023-03-17,2023-03-19,Tour de Normandie Féminin,,FRA,WE,Road,EUR,2.1,aanquetil@tdncycliste.com,www.tourdenormandiecycliste.fr,
2023-03-18,2023-03-18,Classic Loire Atlantique,,FRA,ME,Road,EUR,1.1,classic.loire-atlantique@orange.fr; laclassic44@gmail.com,www.classic-loire-atlantique.fr,
2023-03-18,2023-03-18,Milano-Sanremo,,ITA,ME,Road,UWT,1.UWT,stefano.allocchio@rcs.it,www.milanosanremo.it,
2023-03-18,2023-03-19,Guido Reybrouck Classic,,BEL,MJ,Road,EUR,2.1,hubert.vannieuwkerke@gmail.com,www.guidoreybrouckclassic.be,
2023-03-19,2023-03-19,Cholet - Pays de la Loire,,FRA,ME,Road,EUR,1.1,choletpaysdelaloire@choletevenements.fr,www.choletpaysdelaloire.fr,
2023-03-19,2023-03-19,Per Sempre Alfredo,,ITA,ME,Road,EUR,1.1,gsemiliaciclismo@tin.it,,
2023-03-19,2023-03-19,GP Slovenian Istria,,SLO,ME,Road,EUR,1.2,kzs@kolesarska-zveza.si,www.kolesarska-zveza.si,
2023-03-19,2023-03-19,Bernaudeau Junior,,FRA,MJ,Road,EUR,1.1,frederic.gauvrit@outlook.com,https://labernaudeaujunior.jimdofree.com/,
2023-03-19,2023-03-19,Popolarissima,,ITA,ME,Road,EUR,1.2,uctrevigiani@libero.it,,
2023-03-19,2023-03-19,Piccolo Trofeo Alfredo Binda - Valli del Verbano,,ITA,WJ,Road,EUR,1.Ncup,mario.minervino@trofeobinda.com; mario.minervino@email.it,www.cyclingsportpromotion.com,
2023-03-19,2023-03-19,Classica da Arrabida - Cyclin'Portugal,,POR,ME,Road,EUR,1.2,geral@fpciclismo.pt,www.fpciclismo.pt,
2023-03-19,2023-03-19,Trofeo Alfredo Binda - Comune di Cittiglio,,ITA,WE,Road,MON,1.WWT,mario.minervino@email.it; mario.minervino@trofeobinda.com,www.cyclingsportpromotion.com,
2023-03-20,2023-03-26,Volta Ciclista a Catalunya,,ESP,ME,Road,UWT,2.UWT,volta@voltacatalunya.cat,www.voltacatalunya.cat,
2023-03-21,2023-03-25,Settimana Internazionale Coppi e Bartali,,ITA,ME,Road,EUR,2.1,gsemiliaciclismo@tin.it,www.gsemilia.it,
2023-03-22,2023-03-22,Classic Brugge-De Panne,,BEL,ME,Road,UWT,1.UWT,secretariaat@kvcps.be,www.bruggedepanneclassic.be,
2023-03-22,2023-03-26,Volta ao Alentejo,,POR,ME,Road,EUR,2.2,geral@podi1.com,www.podi1.com,
2023-03-22,2023-03-26,Olympia's Tour,,NED,ME,Road,EUR,2.2,thijs.rondhuis@courage-events.nl,www.olympiastour.com,
2023-03-23,2023-03-23,GP Goriska & Vipava Valley,,SLO,ME,Road,EUR,1.2,cycling@meblojogi.si,,
2023-03-23,2023-03-23,Classic Brugge-De Panne,,BEL,WE,Road,MON,1.WWT,secretariaat@kvcps.be,www.bruggedepanneclassic.be,
2023-03-24,2023-03-24,E3 Saxo Classic,,BEL,ME,Road,UWT,1.UWT,info@e3saxobankclassic.be,www.e3saxobankclassic.be,
2023-03-24,2023-03-26,National Road Championships - Chile,,CHI,,Road,AME,CN,SECRETARIA@FDNCICLISMOCHILE.CL,WWW.FDNCICLISMOCHILE.CL,
2023-03-25,2023-03-25,National Criterium Championships - Mali,,MLI,,Road,AFR,CRT,fedecyclisme@gmail.com,,
2023-03-25,2023-03-26,National Road Championships - Uruguay,,URU,,Road,AME,CN,federacionciclistauruguaya@gmail.com,,
2023-03-25,2023-03-26,Tour du Bocage et de l'Ernée 53,,FRA,MJ,Road,EUR,1.2,gerardcouge@orange.fr,tourbocageernee53.sportsregions.fr,
2023-03-26,2023-03-26,Gent-Wevelgem in Flanders Fields,,BEL,ME,Road,UWT,1.UWT,nicolas.denys@flandersclassics.be,www.gent-wevelgem.be,
2023-03-26,2023-03-26,Gent-Wevelgem In Flanders Fields,,BEL,WE,Road,MON,1.WWT,nicolas.denys@flandersclassics.be,www.gent-wevelgem.be,
2023-03-26,2023-03-26,Syedra Ancient City,,TUR,ME,Road,EUR,1.2,info@cyclingracesinturkiye.com,www.cyclingracesinturkiye.com,
2023-03-26,2023-03-26,GP Adria Mobil,,SLO,ME,Road,EUR,1.2,info@adriamobilcycling.com,,
2023-03-26,2023-03-26,GP Industria & Artigianato,,ITA,ME,Road,EUR,1.Pro,info@ciclismolarcianese.it,www.ciclismolarcianese.it,
2023-03-26,2023-03-26,La Roue Tourangelle Centre Val de Loire - Trophée Groupama Paris Val de Loire,,FRA,ME,Road,EUR,1.1,touraine-evenement-sport@orange.fr,www.larouetourangelle.com,
2023-03-26,2023-03-26,Gent-Wevelgem / Grote Prijs A. Noyelle-Ieper,,BEL,MJ,Road,EUR,1.1,bart.vannieuwenhuyze@telenet.be,www.kattekoers.be,
2023-03-26,2023-03-26,Gent-Wevelgem,,BEL,WJ,Road,EUR,1.1,wvancauwenberge@hotmail.com,www.gent-wevelgem.be,
2023-03-26,2023-03-26,Gent-Wevelgem / Kattekoers-Ieper,,BEL,MU,Road,EUR,1.2U,bart.vannieuwenhuyze@telenet.be,www.kattekoers.be,
2023-03-29,2023-03-29,DWARS DOOR VLAANDEREN / A TRAVERS LA FLANDRE,,BEL,WE,Road,EUR,1.Pro,info@dwarsdoorvlaanderen.be,www.dwarsdoorvlaanderen.be,
2023-03-29,2023-03-29,Dwars door Vlaanderen - A travers la Flandre,,BEL,ME,Road,UWT,1.UWT,info@ddvl.eu,www.ddvl.eu,
2023-03-29,2023-04-02,Vuelta BANTRAB,,GUA,ME,Road,AME,2.2,stuard.rodriguez.v@gmail.com,,
2023-03-30,2023-04-01,Oceania Road Championships,,AUS,,Road,OCE,CC,tourdebrisbane@nxsports.org,https://tourdebrisbane.org/,
2023-03-31,2023-03-31,La Route Adélie de VItré,,FRA,ME,Road,EUR,1.1,alain.ramir@orange.fr,www.routeadelievitre.fr,
2023-03-31,2023-04-02,Internationale Cottbuser Junioren-Etappenfahrt,,GER,MJ,Road,EUR,2.1,info@rsc-cottbus.de,www.rsc-cottbus.de,
2023-04-01,2023-04-01,Volta Limburg Classic,,NED,ME,Road,EUR,1.1,info@voltalimburgclassic.nl,www.voltalimburgclassic.nl,
